course_id,course_title,is_paid,price,num_subscribers,num_reviews,course_level,subject,date_published
684794,Build Web Apps Using EmberJS: The Complete Course,True,40,627,126,All,Web Development,2015-12-10 18:01:55+00:00
326326,SharePoint 2013 Development using C# - Part I,True,50,891,101,All,Web Development,2014-11-06 13:59:44+00:00
436496,SAP Crystal Reports with ASP.Net (Step by step),False,0,7484,304,Introductory,Web Development,2015-03-04 01:33:32+00:00
525114,Building Responsive Data Visualizations with D3 JS,True,85,876,59,All,Web Development,2015-06-12 20:17:52+00:00
709460,Learn Rails Programming in Less than 30 Minute - Lite,True,20,1235,25,All,Web Development,2016-01-06 17:49:01+00:00
413618,SASS - Beginner Crash Course,True,25,1143,34,Introductory,Web Development,2015-02-12 17:13:26+00:00
821788,Angular 2 Fundamentals for Web Developers,True,40,450,61,All,Web Development,2016-04-14 18:43:47+00:00
392836,Easily Learn Web Development With Drop & Drag: OptimizePress,True,20,1442,9,Introductory,Web Development,2015-01-23 06:46:27+00:00
1115126,XML XSLT - Crash Course for Beginners,True,45,426,4,All,Web Development,2017-02-19 18:11:07+00:00
348920,Create Your Own Successful Online School To Sell Courses,True,95,2814,14,Introductory,Web Development,2014-11-18 04:02:55+00:00
1114060,Flask Tutorial Step by Step,False,0,4645,171,Intermediate,Web Development,2017-02-28 16:27:45+00:00
778084,Ruby on Rails a Beginners Guide ,False,0,13130,346,Introductory,Web Development,2016-03-18 14:58:53+00:00
1176686,Mastering Basic CSS Selectors.,False,0,3933,23,Introductory,Web Development,2017-05-09 22:13:22+00:00
744618,Create a Website Similar to Facebook from Scratch!,True,25,2197,9,All,Web Development,2016-02-09 06:15:07+00:00
473622,Comprehensive TypeScript,True,125,1318,78,All,Web Development,2015-04-13 19:00:50+00:00
470412,"Essential HTML, CSS & HTML5 Training",True,50,1553,35,Introductory,Web Development,2015-04-12 22:20:58+00:00
758208,HTML 5 and CSS 3 - tricks and workarounds,True,80,2007,10,All,Web Development,2016-02-18 00:21:26+00:00
505780,"How to Register a Domain, Set Up Hosting, and Edit Web Pages",True,45,1540,19,Introductory,Web Development,2015-05-21 19:37:46+00:00
568524,WordPress Plugins Treasure Chest,True,25,1655,10,Intermediate,Web Development,2015-08-06 21:01:21+00:00
890810,Practical Understanding of PHP and MySQL,False,0,12201,217,Introductory,Web Development,2016-07-06 16:35:25+00:00
332252,"AngularJS for Beginners, Single-Page Applications Made Easy",True,200,1284,46,All,Web Development,2014-11-18 06:03:56+00:00
431576,Building a Social Network in PHP & MySQL From Scratch,True,50,869,125,All,Web Development,2015-03-17 16:54:15+00:00
1115128,XML DOM - Crash Course for Beginners,True,45,396,6,All,Web Development,2017-02-19 23:41:32+00:00
716310,Create a Powerful Website with the Cool Bootstrap Framework,False,0,7142,41,All,Web Development,2016-02-02 23:35:43+00:00
467186,HTML5 and CSS3 -Start building beautiful websites,True,150,1414,14,All,Web Development,2015-05-14 22:21:39+00:00
212376,Getting Started as a Web Developer,False,0,9833,241,Introductory,Web Development,2014-08-16 22:20:47+00:00
496006,Learn Laravel: Create Your Web App Step-By-Step,True,45,604,47,All,Web Development,2015-05-20 19:48:45+00:00
756050,Professional Web Scraping with Java,True,50,685,37,Intermediate,Web Development,2016-05-16 00:11:41+00:00
592594,3D Programming with WebGL and Babylon.js for Beginners,True,200,549,49,Intermediate,Web Development,2015-08-31 21:07:26+00:00
520308,Learn to make a colorful one page website,True,200,1220,16,All,Web Development,2015-06-05 18:09:58+00:00
494510,WordPress Plugin Tutorial,True,40,1588,8,Introductory,Web Development,2015-05-14 21:38:00+00:00
212624,Introduction to HTML,False,0,8371,212,Introductory,Web Development,2014-08-30 01:33:38+00:00
1259422,Learn JavaScript From Scratch:Become Top Rated Web Developer,True,65,2570,17,All,Web Development,2017-06-29 18:10:15+00:00
326244,"Installing Wordpress 4 - Installation, Registrars & Hosting",True,45,6117,188,Introductory,Web Development,2014-10-31 07:21:32+00:00
573716,Learn PHP Programming for Absolute Beginners,True,35,5368,78,All,Web Development,2015-08-05 18:47:48+00:00
1172166,WordPress for Beginners 2017 + Google AdSense Implementation,True,195,2225,14,All,Web Development,2017-06-05 18:20:34+00:00
1021834,JavaScript for beginners in 1 hour,True,95,2086,56,Introductory,Web Development,2016-12-12 16:52:38+00:00
1210098,HTML5 and CSS for Beginner To Expert,True,20,1732,15,All,Web Development,2017-06-06 22:27:23+00:00
288466,Become a Kick-Ass Web Developer: From Newbie to Pro,True,200,6751,44,All,Web Development,2014-10-02 15:47:45+00:00
581256,Django Tutorial: Build Your First App Fast & Free! ,True,20,5228,180,Introductory,Web Development,2015-09-08 00:17:23+00:00
1189508,Create a social network using PHP Mysqli HTML Css and JQuery,True,40,1477,17,Intermediate,Web Development,2017-04-24 00:18:42+00:00
863976,PHP - Send and Receive Mobile Text Messages (SMS),True,50,1626,81,All,Web Development,2016-06-15 23:04:19+00:00
681514,Complete PHP Course with OOP Start to Finish!,True,200,4529,54,All,Web Development,2015-11-26 22:25:33+00:00
864482,Coding Made Easy: HTML & CSS For Beginners,True,40,3254,92,Introductory,Web Development,2016-06-07 17:35:07+00:00
339086,WordPress Security - The Ultimate Security Guide,True,60,2267,17,All,Web Development,2015-01-04 20:28:06+00:00
639654,How to Make a Single Page Website for Freelancers & Agencies,False,0,17463,283,All,Web Development,2015-10-15 20:13:38+00:00
60792,Learn to Use jQuery UI Widgets,False,0,23669,521,Introductory,Web Development,2013-06-23 02:38:19+00:00
1054814,Learn to Create Responsive Layouts in 30 Minutes,False,0,5301,174,Introductory,Web Development,2017-01-17 22:26:51+00:00
948204,Web Building Starter Pack. Html Css and JQuery Animations,True,30,1033,16,All,Web Development,2016-10-07 21:58:04+00:00
1191946,Getting Started with Angular 2+,False,0,6909,401,Introductory,Web Development,2017-04-27 22:25:40+00:00
82412,Intro to PHP Web Application Development with Symfony,True,200,4040,72,Introductory,Web Development,2013-09-06 02:34:20+00:00
986742,Learn OAuth 2.0 - Theory and Hands On,True,145,546,69,All,Web Development,2016-10-17 22:18:40+00:00
18448,Learning CSS3 - A Comprehensive Tutorial For Web Developers,True,50,2459,107,All,Web Development,2012-05-24 21:14:57+00:00
552258,Professional WordPress Theme Development from Scratch,True,200,1284,173,All,Web Development,2015-10-13 00:41:30+00:00
1020722,PHP Zend Framework 1.11:Creating a CRUD Application,True,40,1122,5,All,Web Development,2016-11-24 04:49:57+00:00
752706,Write quicker HTML5 and CSS 3; productivity hacks with emmet,False,0,13016,286,All,Web Development,2016-03-03 17:45:31+00:00
633606,The Ultimate jQuery Course,True,20,1098,15,All,Web Development,2015-11-13 19:37:48+00:00
461176,Build an Advanced Single Page with Bootstrap & WordPress,True,95,481,75,Intermediate,Web Development,2015-04-08 16:23:36+00:00
1030774,Master all PHP ideas 2017 to build any project,True,50,376,19,Introductory,Web Development,2017-02-12 17:54:34+00:00
221920,A Beginner's Guide to the Meteor JavaScript Framework,True,50,898,132,Introductory,Web Development,2014-09-27 02:27:57+00:00
372442,Create an E-commerce website without any coding,True,20,1393,40,All,Web Development,2014-12-18 00:04:38+00:00
851560,Learn To Build Apps Using Play Framework,True,40,434,69,All,Web Development,2016-06-07 17:38:29+00:00
755932,Introducing Ionic 2,True,50,394,78,Introductory,Web Development,2016-02-08 20:43:47+00:00
1031620,Learn Laravel with Database Migration & Seeding & Faker,True,20,263,14,All,Web Development,2017-01-09 16:39:16+00:00
416738,Create a Client Network by Hosting WordPress Sites,True,35,1061,8,Intermediate,Web Development,2015-03-02 21:42:06+00:00
576108,Introduction to PHP Slim Microframework,True,20,1312,19,Intermediate,Web Development,2015-08-07 16:53:35+00:00
971022,ASP :basics for beginners,True,35,764,7,All,Web Development,2016-09-29 15:52:42+00:00
966794,"WordPress Development With NodeJS, Gulp, Composer & More",True,25,289,30,Intermediate,Web Development,2016-10-25 13:47:26+00:00
1200874,Become PHP Facebook Developer: Password-Less Authentication,True,195,4001,8,All,Web Development,2017-05-07 19:30:36+00:00
780056,How To Create Your Very First Website With HTML and CSS,True,100,5097,196,Introductory,Web Development,2016-04-09 01:56:01+00:00
1274210,Learn JSON for beginners with JavaScript,True,200,3193,10,Introductory,Web Development,2017-06-30 17:40:02+00:00
615106,Ultimate guide to Social Media Web development integration ,True,200,11011,13,All,Web Development,2015-09-20 18:13:38+00:00
1023196,A Complete Laravel basics from beginner to expert,True,25,3492,61,All,Web Development,2016-12-06 22:07:53+00:00
1249968,JQuery Basics - Learn JQuery From Scratch,True,100,3559,24,Introductory,Web Development,2017-06-18 21:23:07+00:00
565000,Learn MeteorJS By Building 10 Real World Projects,True,50,2784,221,All,Web Development,2015-07-28 17:23:14+00:00
760752,JavaScript Basics for Beginners Introduction to coding,True,150,5495,52,Introductory,Web Development,2016-02-17 04:53:50+00:00
419318,AngularJS Masterclass - Deep Dive & Understand AngularJS,True,100,2912,309,All,Web Development,2015-03-04 22:52:26+00:00
482834,HTML5 for beginners,True,195,9687,59,Introductory,Web Development,2015-04-24 18:04:21+00:00
1090194,All in one HTML CSS and JQuery,True,20,3444,35,All,Web Development,2017-01-27 22:27:20+00:00
561136,Responsive Design with NEW Materialize,True,75,12629,88,All,Web Development,2015-07-23 20:03:45+00:00
41356,Create a Responsive Business Website with WordPress,True,95,1659,73,All,Web Development,2013-03-25 01:44:54+00:00
946310,PHP webservices,True,30,1305,25,All,Web Development,2016-08-31 16:41:53+00:00
661780,JavaScript Promises: Applications in ES6 and AngularJS,True,75,651,52,Introductory,Web Development,2015-11-06 19:02:46+00:00
563020,Learn to build 20 websites and build 14 iOS9 apps with swift,True,40,1926,9,All,Web Development,2015-07-24 21:45:40+00:00
772224,Professional CSS Flexbox,True,35,396,130,Intermediate,Web Development,2016-04-07 23:21:42+00:00
967410,XML :basics for beginners,True,40,1062,12,All,Web Development,2016-09-26 16:38:41+00:00
1007766,How to create Paypal and Credit card Payment Buttons,True,65,578,6,Introductory,Web Development,2016-11-17 20:57:25+00:00
837950,Customizr - Learn WordPress with the ultimate creative theme,False,0,4735,81,Introductory,Web Development,2016-05-05 19:08:34+00:00
737468,How To Create a Local Wordpress Environment,False,0,4306,163,Introductory,Web Development,2016-02-07 18:58:40+00:00
394832,Fun and creative web engineering with Python and Web2py,False,0,10917,319,All,Web Development,2015-06-09 19:51:50+00:00
384318,WordPress for Beginners - Build Your First Website in 2017,True,100,1701,125,Introductory,Web Development,2015-06-23 20:16:55+00:00
294408,Learn to Make an Animated Image Gallery using HTML5,False,0,11080,165,Introductory,Web Development,2014-11-20 11:37:05+00:00
564268,Projects in Foundation Framework - Learn By Building 10 Apps,True,50,636,33,All,Web Development,2015-07-27 20:56:27+00:00
368786,Drupal for Beginners,True,30,1478,18,Introductory,Web Development,2015-01-26 06:54:58+00:00
1036170,Laravel : CRUD Application Using AJAX In Laravel 5.3,True,20,362,19,Intermediate,Web Development,2017-01-09 16:52:33+00:00
311538,Foundations of Front-End Web Development,False,0,8337,300,Introductory,Web Development,2014-12-12 21:47:15+00:00
825752,Angular 2 - Superheroic Framework,True,20,702,21,Introductory,Web Development,2016-05-04 16:35:07+00:00
56513,Social Network Web Development,True,200,2698,29,All,Web Development,2013-09-03 06:29:24+00:00
921560,For Free - Deploy Quickly Spring Boot on Heroku With MySQL,True,95,177,19,All,Web Development,2016-08-06 07:33:17+00:00
366608,Building Web Applications with Spring MVC,True,85,714,48,All,Web Development,2014-12-09 13:34:19+00:00
527834,"HTML5, CSS3 & Bootstrap - How to Create a Responsive Website",True,20,1062,20,All,Web Development,2015-07-31 23:56:22+00:00
287010,HTML & CSS - Learn to build sleek websites ,True,55,1552,14,All,Web Development,2014-10-21 03:35:47+00:00
1019918,Master Angular 2 - The No Nonsense Course,True,25,102,27,Introductory,Web Development,2016-11-24 04:06:21+00:00
442580,Master ASP . NET 4 from scratch,True,50,613,135,All,Web Development,2015-08-18 20:58:37+00:00
388286,CoffeeScript: The Good Parts—Write Better javaScript,True,50,2152,19,Introductory,Web Development,2015-01-13 04:50:51+00:00
368679,Mastering Magento,True,85,1063,101,All,Web Development,2014-12-15 07:05:38+00:00
909836,Ultimate JavaScript Strings,False,0,3142,117,Introductory,Web Development,2016-07-29 12:53:13+00:00
328960,Your Own Site in 45 Min: The Complete Wordpress Course,True,120,1566,29,All,Web Development,2015-04-20 22:15:17+00:00
407796,Redirect Your Visitors By Country Easily -Wordpress Tutorial,True,20,2306,3,Introductory,Web Development,2015-02-05 18:04:53+00:00
637840,Learn Knockout JS Framework from GroundUp,True,40,633,104,All,Web Development,2015-10-15 17:04:20+00:00
954948,Build Responsive Websites  in an Hour using Portalfin,False,0,2859,42,All,Web Development,2016-09-25 17:45:52+00:00
806536,Master Riot: Learn Riot.js from Scratch,True,125,299,75,Intermediate,Web Development,2016-07-14 16:57:24+00:00
947204,Learn W3.CSS,True,50,1002,7,All,Web Development,2016-09-01 17:18:52+00:00
468726,Learning Axure RP,True,75,631,103,All,Web Development,2015-04-08 19:29:35+00:00
697798,"Complete guide to install Wordpress, PHP on Cloud,AWS or VPS",True,50,1386,17,All,Web Development,2016-01-06 17:20:55+00:00
30261,"Kids Coding -Introduction to HTML, CSS and JavaScript",True,200,2355,143,Introductory,Web Development,2012-11-26 20:00:40+00:00
