course_title,num_subscribers,course_type,course_level,subject,language,price_certification,institution
Empathy and Emotional Intelligence at Work,45867,Self-paced,Introductory,Business & Management,English,199.0,"University of California, Berkeley"
Design Thinking and Creativity for Innovation,47549,Self-paced,Intermediate,Business & Management,English,5.0,The University of Queensland
China and Communism,69104,Self-paced,Introductory,History,English,139.0,Harvard University
Mandarin Chinese Level 1,56040,Self-paced,Introductory,Language,English,149.0,MandarinX
Introduction to Biology - The Secret of Life,147512,Instructor-led,Introductory,Biology & Life Sciences,English,150.0,Massachusetts Institute of Technology
Photoshop: una herramienta para presentaciones innovadoras,22969,Self-paced,Introductory,Art & Culture,Español,19.0,Pontificia Universidad Javeriana
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,50949,Self-paced,Introductory,Data Analysis & Statistics,English,99.0,Harvard University
生活英语听说 | Conversational English Skills,301585,Self-paced,Introductory,Communication,English,49.0,Tsinghua University
Shakespeare’s Othello: The Moor,31868,Self-paced,Introductory,Humanities,English,49.0,Harvard University
Basic Spanish 2: One Step Further,67687,Self-paced,Introductory,Language,English,50.0,Universitat Politècnica de Valencia
Financial Market Analysis,37452,Self-paced,Intermediate,Economics & Finance,English,25.0,The International Monetary Fund
CS50's Computer Science for Business Professionals,73208,Self-paced,Introductory,Computer Science,English,90.0,Harvard University
Gobierno Digital,18883,Self-paced,Introductory,Social Sciences,Español,25.0,Inter-American Development Bank
Upper-Intermediate English: Business and Globalization,58532,Self-paced,Intermediate,Language,English,50.0,Universitat Politècnica de Valencia
The Opioid Crisis in America,54805,Self-paced,Introductory,Medicine,English,99.0,Harvard University
Gestión de Proyectos de Desarrollo,306286,Self-paced,Introductory,Business & Management,Español,49.0,Inter-American Development Bank
Statistical Learning,27968,Self-paced,Introductory,Data Analysis & Statistics,English,50.0,Stanford University
Introduction to Social Psychology,79365,Self-paced,Introductory,Humanities,English,99.0,The University of Queensland
Artificial Intelligence (AI),265104,Instructor-led,Advanced,Computer Science,English,249.0,Columbia University
American Government: Constitutional Foundations,35504,Self-paced,Introductory,Social Sciences,English,49.0,Harvard University
Introducción a la inversión bursátil,64261,Self-paced,Introductory,Economics & Finance,Español,50.0,Universitat Politècnica de Valencia
Japanese Books: From Manuscript to Print,17581,Self-paced,Introductory,Art & Culture,English,100.0,Harvard University
Foundations of Modern Finance  I,24108,Instructor-led,Advanced,Economics & Finance,English,450.0,Massachusetts Institute of Technology
Operations Management,126093,Self-paced,Intermediate,Business & Management,English,150.0,Indian Institute of Management Bangalore
Marketing Management,80010,Self-paced,Intermediate,Business & Management,English,150.0,Indian Institute of Management Bangalore
Marketing enfocado en la estrategia de servicios,24618,Self-paced,Introductory,Business & Management,Español,119.0,Universidad Nacional de Córdoba
Introduction to Marketing,169126,Self-paced,Introductory,Business & Management,English,150.0,University of British Columbia
Programming Basics,215059,Self-paced,Introductory,Computer Science,English,149.0,IITBombay
Probability and Statistics in Data Science using Python,106286,Self-paced,Advanced,Data Analysis & Statistics,English,350.0,"The University of California, San Diego"
HTML5 Coding Essentials and Best Practices,241287,Self-paced,Intermediate,Computer Science,English,199.0,The World Wide Web Consortium (W3C)
First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,37426,Self-paced,Introductory,Humanities,English,49.0,Harvard University
Cell Biology: Mitochondria,64142,Self-paced,Introductory,Biology & Life Sciences,English,99.0,Harvard University
"Algorithms: Design and Analysis, Part 1",20163,Self-paced,Intermediate,Computer Science,English,149.0,Stanford University
Introducción al Office 365,16470,Self-paced,Introductory,Computer Science,Español,75.0,Universitat Politècnica de Valencia
Creative Thinking: Techniques and Tools for Success,54787,Self-paced,Introductory,Humanities,English,49.0,Imperial College London
Upper-Intermediate English: Business and Technology,47451,Self-paced,Intermediate,Language,English,50.0,Universitat Politècnica de Valencia
Shakespeare's Hamlet: The Ghost,38331,Self-paced,Introductory,Humanities,English,49.0,Harvard University
FlashDiet: Aprende a comer sano,48105,Self-paced,Introductory,Food & Nutrition,Español,50.0,Universitat Politècnica de Valencia
CS50's Understanding Technology,50030,Self-paced,Introductory,Computer Science,English,90.0,Harvard University
Introduction to Aerospace Structures and Materials,37126,Self-paced,Introductory,Engineering,English,50.0,Delft University of Technology
Visualizing Data with Python,42101,Self-paced,Intermediate,Data Analysis & Statistics,English,39.0,IBM
Success: Practical Thinking Skills,24414,Self-paced,Introductory,Philosophy & Ethics,English,50.0,The Hong Kong Polytechnic University
English for Doing Business in Asia – Speaking,68422,Self-paced,Introductory,Humanities,English,60.0,The Hong Kong University of Science and Technology
Nutrition and Health: Macronutrients and Overnutrition,208582,Self-paced,Introductory,Biology & Life Sciences,English,99.0,Wageningen University & Research
"Contemporary China: The People's Republic, Taiwan, and Hong Kong",66771,Self-paced,Introductory,History,English,139.0,Harvard University
Introduction to Clinical Psychology,57234,Self-paced,Introductory,Humanities,English,99.0,The University of Queensland
Modern Masterpieces of World Literature,48049,Self-paced,Introductory,Literature,English,99.0,Harvard University
"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",24259,Self-paced,Introductory,Social Sciences,English,49.0,Harvard University
Applied Scrum for Agile Project Management,55293,Self-paced,Advanced,Engineering,English,199.0,"The University of Maryland, College Park-University System of Maryland"
Corporate Finance,62798,Self-paced,Intermediate,Business & Management,English,150.0,Indian Institute of Management Bangalore
Judaism Through Its Scriptures,50540,Self-paced,Introductory,Humanities,English,99.0,Harvard University
Excel avanzado: importación y análisis de datos,47184,Self-paced,Advanced,Data Analysis & Statistics,Español,75.0,Universitat Politècnica de Valencia
CSS Basics,95163,Self-paced,Introductory,Computer Science,English,199.0,The World Wide Web Consortium (W3C)
Unlocking Information Security: Part I,19905,Self-paced,Intermediate,Computer Science,English,149.0,IsraelX-Tel Aviv University
Becoming an Effective Leader,55937,Self-paced,Intermediate,Communication,English,99.0,The University of Queensland
Digital Branding and Engagement,122977,Self-paced,Intermediate,Communication,English,99.0,Curtin University
Introduction to Cybersecurity,73021,Self-paced,Introductory,Computer Science,English,199.0,University of Washington
General Academic English|生活英语进阶,17526,Self-paced,Introductory,Language,English,49.0,Tsinghua University
Gestión de personas: Recursos Humanos,19687,Self-paced,Introductory,Business & Management,Español,119.0,Universidad Nacional de Córdoba
From Poverty to Prosperity: Understanding Economic Development,91062,Self-paced,Intermediate,Social Sciences,English,149.0,University of Oxford
Medical Terminology,31354,Self-paced,Introductory,Biology & Life Sciences,English,79.0,Doane University
Ancient Masterpieces of World Literature,48899,Self-paced,Introductory,Literature,English,99.0,Harvard University
Shakespeare's The Merchant of Venice: Shylock,23283,Self-paced,Introductory,Humanities,English,49.0,Harvard University
Gestión del estrés y Mindfulness,15965,Self-paced,Introductory,Health & Safety,Español,49.0,Universidades Anáhuac
Behavioural Economics in Action,66764,Self-paced,Introductory,Business & Management,English,139.0,University of Toronto
Finance for Everyone: Smart Tools for Decision-Making,45029,Self-paced,Introductory,Business & Management,English,49.0,The University of Michigan
Creating Innovative Business Models,12227,Self-paced,Introductory,Business & Management,English,149.0,"University System of Maryland-The University of Maryland, College Park"
u.lab: Leading From the Emerging Future,79424,Self-paced,Introductory,Business & Management,English,99.0,Massachusetts Institute of Technology
Electric Cars: Introduction,56171,Self-paced,Intermediate,Engineering,English,50.0,Delft University of Technology
Inteligencia Artificial para todos: Domina los fundamentos,11764,Self-paced,Introductory,Computer Science,Español,49.0,IBM
Marketing Analytics,55228,Instructor-led,Advanced,Business & Management,English,249.0,Columbia University
Introducción a la Regulación Emocional basada en Mindfulness,20634,Self-paced,Introductory,Health & Safety,Español,49.0,Universidad Autónoma de Madrid
Design Thinking Fundamentals,56446,Self-paced,Intermediate,Business & Management,English,299.0,Rochester Institute of Technology
Basic Spanish 3: Getting there,17569,Self-paced,Introductory,Language,English,50.0,Universitat Politècnica de Valencia
Mi propia huerta orgánica,11346,Self-paced,Introductory,Biology & Life Sciences,Español,29.0,Universidad Nacional de Córdoba
Sustainability in Architecture: An Interdisciplinary Introduction,31352,Self-paced,Intermediate,Architecture,English,50.0,Universitat Politècnica de Valencia
Gestión de riesgos en proyectos de desarrollo,47676,Self-paced,Intermediate,Business & Management,Español,25.0,Inter-American Development Bank
Python Data Structures,36369,Self-paced,Introductory,Computer Science,English,49.0,The University of Michigan
The Science and Business of Biotechnology,17039,Self-paced,Intermediate,Business & Management,English,49.0,Massachusetts Institute of Technology
Finance Essentials,63666,Self-paced,Introductory,Business & Management,English,79.0,Imperial College Business School-Imperial College London
Introduction to the Internet of Things (IoT),89421,Self-paced,Introductory,Computer Science,English,149.0,Curtin University
'Talk to me': Improving mental health and suicide prevention in young adults,11481,Self-paced,Introductory,Health & Safety,English,139.0,Curtin University
Disaster Medicine Training,10937,Self-paced,Introductory,Medicine,English,50.0,Stanford University
