course_title,num_subscribers,course_type,course_level,subject,language,price_certification,institution
Foundations of Central Bank Law,6169,Self-paced,Intermediate,Law,English,25.0,The International Monetary Fund
C Programming: Modular Programming and Memory Management,18690,Self-paced,Introductory,Computer Science,English,49.0,Dartmouth_IMTx-Dartmouth College-IMT
Enseñanza temprana de matemáticas y ciencias,8250,Self-paced,Introductory,Education & Teacher Training,Español,25.0,Inter-American Development Bank
Entrepreneurship 102: What can you do for your customer?,11275,Self-paced,Introductory,Business & Management,English,49.0,Massachusetts Institute of Technology
Italian Language and Culture: Advanced (2019-2020),24667,Self-paced,Advanced,Language,another language,49.0,Wellesley College
Introduction to Marketing,52141,Self-paced,Introductory,Business & Management,English,149.0,The University of Edinburgh
Origins of the Human Mind,11812,Self-paced,Introductory,Science,English,49.0,Kyoto University
Introduction to Geometry,61824,Self-paced,Introductory,Math,English,50.0,SchoolYourself
The Future of Work: Preparing for Disruption,43125,Self-paced,Introductory,Economics & Finance,English,5.0,World Bank Group
Clinical Reasoning Process,5367,Self-paced,Introductory,Medicine,English,149.0,Université de Montréal
Datos para la efectividad de las políticas públicas,80425,Self-paced,Introductory,Data Analysis & Statistics,Español,25.0,Inter-American Development Bank
Media Law,7253,Instructor-led,Introductory,Art & Culture,English,249.0,New York University
Líderes para la Gestión en Seguridad Ciudadana y Justicia,12826,Self-paced,Intermediate,Social Sciences,Español,25.0,Inter-American Development Bank
"Diseña, fabrica y programa tu propio robot",25024,Self-paced,Introductory,Engineering,Español,75.0,Universitat Politècnica de Valencia
Pivoting to Online Teaching: Research and Practitioner Perspectives,5289,Self-paced,Introductory,Education & Teacher Training,English,139.0,University of Texas at Arlington
Circular Economy: An Interdisciplinary Approach,10281,Self-paced,Advanced,Business & Management,English,149.0,Wageningen University & Research
Calculus 1B: Integration,44669,Instructor-led,Intermediate,Math,English,100.0,Massachusetts Institute of Technology
Algorithmic Design and Techniques,40620,Self-paced,Intermediate,Computer Science,English,99.0,"The University of California, San Diego"
Drinking Water Treatment,51918,Self-paced,Intermediate,Engineering,English,50.0,Delft University of Technology
Fundamentos de información financiera y contable,7789,Self-paced,Intermediate,Economics & Finance,Español,49.0,Universidades Anáhuac
Les principes de la finance,44037,Self-paced,Intermediate,Business & Management,another language,150.0,Université catholique de Louvain
Music Technology Foundations,34550,Self-paced,Introductory,Computer Science,English,169.0,University of Adelaide
The Entrepreneurial Mindset,31077,Self-paced,Introductory,Business & Management,English,149.0,Babson College
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",26453,Self-paced,Introductory,Biology & Life Sciences,English,49.0,The University of Michigan
Risk Management and Credit Principles,9028,Self-paced,Advanced,Economics & Finance,English,199.0,NYIF
Steps in Japanese for Beginners1 Part3,6169,Self-paced,Introductory,Language,English,99.0,Waseda University
Structural Materials: Selection and Economics,9752,Self-paced,Introductory,Engineering,English,50.0,Massachusetts Institute of Technology
Algorithm Design and Analysis,39137,Self-paced,Intermediate,Computer Science,English,149.0,University of Pennsylvania
Estructuras de Datos con Python,52141,Self-paced,Introductory,Computer Science,Español,49.0,The University of Michigan
Mandarin Chinese for Business,12384,Self-paced,Intermediate,Language,English,149.0,MandarinX
Bases Matemáticas: Números y terminología,26060,Self-paced,Intermediate,Math,Español,50.0,Universitat Politècnica de Valencia
Arab-Islamic History: From Tribes to Empires,17321,Self-paced,Introductory,Humanities,English,149.0,IsraelX-Tel Aviv University
Human-Computer Interaction I: Fundamentals & Design Principles,9010,Self-paced,Introductory,Computer Science,English,99.0,The Georgia Institute of Technology
Modeling and simulation of multibody systems,37826,Instructor-led,Intermediate,Engineering,English,50.0,Université catholique de Louvain
The Science of Parenting,37538,Self-paced,Introductory,Social Sciences,English,49.0,"The University of California, San Diego"
Inclusive Teaching: Supporting All Students in the College Classroom,9899,Self-paced,Introductory,Education & Teacher Training,English,49.0,Columbia University
Analytics for Decision Making,31031,Self-paced,Introductory,Business & Management,English,249.0,Babson College
Principios de Análisis e Instrumentos Financieros,37826,Self-paced,Intermediate,Economics & Finance,Español,49.0,Universidades Anáhuac
Energy Principles and Renewable Energy,19520,Instructor-led,Advanced,Energy & Earth Sciences,English,375.0,The University of Queensland
DNA: Biology’s Genetic Code,35162,Self-paced,Intermediate,Biology & Life Sciences,English,169.0,Rice University
Music For Wellness,19728,Self-paced,Introductory,Humanities,English,49.0,Berklee College of Music
Mining Massive Datasets,5311,Self-paced,Advanced,Computer Science,English,149.0,Stanford University
Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -,25041,Self-paced,Introductory,Engineering,English,50.0,Tokyo Institute of Technology
A travel by Spanish America: Spanish for beginners,52141,Self-paced,Introductory,Language,Español,49.0,Universidad del Rosario
Introducción a la Inteligencia Artificial,11184,Self-paced,Introductory,Computer Science,Español,49.0,Universidades Anáhuac
Introducción a la Inteligencia Artificial: Principales Algoritmos,52141,Self-paced,Introductory,Computer Science,Español,49.0,Universidad Galileo
Digital Security and Human Rights,11443,Self-paced,Introductory,Social Sciences,English,49.0,Amnesty International
Critical thinking: reasoned decision making,6923,Self-paced,Introductory,Business & Management,English,149.0,Tecnológico de Monterrey
Introduction to the Internet of Things,7581,Self-paced,Introductory,Electronics,English,50.0,Universitat Politècnica de Valencia
Trading - Fundamentals of Technical Analysis,52141,Self-paced,Introductory,Economics & Finance,English,199.0,NYIF
Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,20261,Self-paced,Introductory,Medicine,Español,49.0,Universidad Autónoma de Madrid
Design Thinking: Empathizing to Understand the Problem,13340,Self-paced,Intermediate,Business & Management,English,299.0,Rochester Institute of Technology
Storytelling in the Workplace,52141,Self-paced,Introductory,Communication,English,199.0,Rochester Institute of Technology
Marketing Analytics: Price and Promotion Analytics,41021,Self-paced,Intermediate,Computer Science,English,249.0,"University of California, Berkeley"
Implementation of Data Structures,27761,Self-paced,Intermediate,Computer Science,English,149.0,IITBombay
Activism and Citizen Journalism through Media,7460,Self-paced,Introductory,Communication,English,49.0,Wits University
Electric and Conventional Vehicles,22089,Instructor-led,Advanced,Engineering,English,249.0,Chalmers University of Technology
Big Data Fundamentals,40106,Self-paced,Intermediate,Computer Science,English,199.0,University of Adelaide
Sustainable Food Security: The value of systems thinking,26600,Self-paced,Introductory,Biology & Life Sciences,English,49.0,Wageningen University & Research
Knowledge Management and Big Data in Business,69064,Self-paced,Introductory,Business & Management,English,50.0,The Hong Kong Polytechnic University
Uso efectivo del tiempo,6409,Self-paced,Introductory,Economics & Finance,Español,49.0,Pontificia Universidad Javeriana
C Programming: Pointers and Memory Management,19171,Self-paced,Introductory,Computer Science,English,49.0,Dartmouth_IMTx-Dartmouth College-IMT
Astrophysics: The Violent Universe,65711,Self-paced,Intermediate,Physics,English,50.0,Australian National University
Landscape Ecology,8644,Self-paced,Intermediate,Environmental Studies,English,50.0,ETH Zurich
IoT Programming and Big Data,21591,Self-paced,Introductory,Computer Science,English,199.0,Curtin University
AWS: Getting Started with Cloud Security,8192,Self-paced,Introductory,Computer Science,English,49.0,Amazon Web Services
Introducción a la gravedad cuántica de lazos,7360,Self-paced,Introductory,Science,Español,50.0,Universidad Nacional de Córdoba
Introduction to the Music Business,46607,Self-paced,Introductory,Business & Management,English,49.0,Berklee College of Music
Introducción a la programación en C: Tipos de datos y estructuras,13480,Self-paced,Introductory,Computer Science,Español,49.0,Universidad Autónoma de Madrid
Visualización de Datos y Storytelling,5980,Self-paced,Intermediate,Data Analysis & Statistics,Español,49.0,Tecnológico de Monterrey
Negociación exitosa: Estrategias y habilidades esenciales (en español),52141,Self-paced,Introductory,Business & Management,Español,49.0,The University of Michigan
"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",10488,Self-paced,Intermediate,Environmental Studies,English,49.0,SDG Academy
Macroeconomics - The Basics,52141,Self-paced,Introductory,Economics & Finance,English,79.0,Doane University
Fundamentals of Financial Mathematics and Capital Budgeting,5410,Self-paced,Introductory,Economics & Finance,English,99.0,NYIF
Gestión participativa: motivación y liderazgo organizacional,23441,Self-paced,Intermediate,Business & Management,Español,79.0,Universitat Politècnica de Valencia
Herramientas de ciencia de datos: uso práctico,52141,Self-paced,Introductory,Data Analysis & Statistics,Español,39.0,IBM
Bienestar para el desarrollo personal y profesional,37826,Self-paced,Intermediate,Health & Safety,Español,29.0,Universidades Anáhuac
Energía eléctrica: conceptos y principios básicos,9762,Self-paced,Intermediate,Engineering,Español,49.0,Tecnológico de Monterrey
Market Segmentation Analysis,17055,Self-paced,Intermediate,Business & Management,English,99.0,The University of Queensland
Pensamento crítico: tomada de decisões fundamentadas,52141,Self-paced,Introductory,Business & Management,another language,149.0,Tecnológico de Monterrey
AP® English Literature & Composition – Part 2: Poems,5719,Self-paced,Introductory,Humanities,English,49.0,"University of California, Berkeley"
"Electrical, Optical & Magnetic Materials and Devices",16905,Self-paced,Intermediate,Engineering,English,150.0,Massachusetts Institute of Technology
Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),52141,Self-paced,Introductory,Medicine,English,99.0,University of Hong Kong
How to Design a Successful Business Model,33656,Self-paced,Introductory,Business & Management,English,99.0,Delft University of Technology
Ecodesign for Cities and Suburbs,28472,Self-paced,Introductory,Environmental Studies,English,99.0,University of British Columbia
Agile Software Development,37158,Self-paced,Introductory,Computer Science,English,50.0,ETH Zurich
Diseño de sistemas de información gerencial para intranet con Microsoft Access,9144,Self-paced,Intermediate,Computer Science,Español,49.0,Universidad del Rosario
Essentials of Program Strategy and Evaluation,52141,Self-paced,Introductory,Philanthropy,English,50.0,Stanford University
Gestão de Projetos de Desenvolvimento,28337,Self-paced,Introductory,Business & Management,another language,49.0,Inter-American Development Bank
Innovation: From Plan to Product,12918,Self-paced,Intermediate,Business & Management,English,249.0,The University of Queensland
Introduction to Database Queries,52141,Self-paced,Introductory,Computer Science,English,166.0,New York University
Climate Change: Carbon Capture and Storage,10551,Self-paced,Introductory,Engineering,English,49.0,The University of Edinburgh
Reservoir Geomechanics,5280,Self-paced,Introductory,Energy & Earth Sciences,English,129.0,Stanford University
Fundamentos de administración estratégica,37826,Self-paced,Intermediate,Business & Management,Español,49.0,Universidades Anáhuac
IoT System Architecture: Design and Evaluation,5914,Self-paced,Introductory,Computer Science,English,99.0,Waseda University
Noongar Language and Culture,10858,Self-paced,Introductory,Language,English,139.0,Curtin University
Sorting Truth From Fiction: Civic Online Reasoning,52141,Instructor-led,Introductory,Education & Teacher Training,English,49.0,Massachusetts Institute of Technology
Sustainable Food Security: Food Access,18943,Self-paced,Introductory,Social Sciences,English,49.0,Wageningen University & Research
Bases Matemáticas: Integrales,23703,Self-paced,Introductory,Math,Español,50.0,Universitat Politècnica de Valencia
Epidemics II,8565,Self-paced,Introductory,Medicine,English,139.0,University of Hong Kong
Derechos humanos: Los derechos de las personas refugiadas,28398,Self-paced,Introductory,Humanities,Español,49.0,Amnesty International
Sign Language Science: Factors Contributing to Natural Learning,52141,Self-paced,Introductory,Language,English,99.0,Georgetown University
Big Data Analytics,43009,Self-paced,Intermediate,Computer Science,English,199.0,University of Adelaide
"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",6594,Self-paced,Intermediate,Math,English,49.0,Imperial College London
ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,16028,Self-paced,Introductory,Social Sciences,Español,25.0,Universitat Politècnica de Valencia
Achieving Product-Market Fit,52141,Self-paced,Introductory,Business & Management,English,199.0,"The University of Maryland, College Park-University System of Maryland"
Culture and Law: The East Asian Perspective,52141,Self-paced,Introductory,Social Sciences,English,49.0,Waseda University
Fundamentals of Market Structure,32049,Self-paced,Introductory,Economics & Finance,English,25.0,NYIF
Protecting Children in Humanitarian Settings,7246,Self-paced,Intermediate,Social Sciences,English,50.0,Columbia University
How to Achieve the Sustainable Development Goals,12719,Self-paced,Intermediate,Environmental Studies,English,49.0,SDG Academy
Aprendizaje y Enseñanza en la Era Digital,16954,Self-paced,Intermediate,Education & Teacher Training,Español,49.0,Universidad Galileo
From Atoms to Stars: How Physics Explains Our World,15914,Self-paced,Intermediate,Physics,English,49.0,National Research Nuclear University
The Threat of Nuclear Terrorism,52141,Self-paced,Introductory,History,English,50.0,Stanford University
Introducción a Matemáticas para Finanzas y Negocios,34472,Self-paced,Advanced,Economics & Finance,Español,49.99,Tecnológico de Monterrey
Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO),37826,Self-paced,Intermediate,Engineering,Español,75.0,Universitat Politècnica de Valencia
Liderazgo inclusivo,37826,Self-paced,Intermediate,Business & Management,Español,29.0,Universidad Carlos III de Madrid
مساق اللّغة العربيّة,52141,Self-paced,Introductory,Language,another language,49.0,United Arab Emirates University
"Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet",8330,Self-paced,Intermediate,Physics,English,79.0,Delft University of Technology
Contemporary Issues in World Politics,11426,Self-paced,Introductory,Social Sciences,English,59.0,Università degli Studi di Napoli Federico II
More Fun with Prime Numbers,10604,Self-paced,Intermediate,Math,English,49.0,Kyoto University
Enterprise Selling,5020,Self-paced,Introductory,Business & Management,English,149.0,Queen’s University
Climate Change: Financial Risks and Opportunities,9977,Self-paced,Intermediate,Economics & Finance,English,79.0,Imperial College Business School-Imperial College London
Caer o No caer. El Secreto de las Estructuras.,20939,Self-paced,Introductory,Engineering,Español,29.0,Universidad Carlos III de Madrid
Mandarin Chinese Level 2,8784,Self-paced,Introductory,Language,English,149.0,MandarinX
Design Thinking: Prototyping and User Testing,10769,Self-paced,Intermediate,Business & Management,English,299.0,Rochester Institute of Technology
Bases Matemáticas: Derivadas,24301,Self-paced,Introductory,Math,Español,50.0,Universitat Politècnica de Valencia
Buscar en Internet,27320,Self-paced,Introductory,Computer Science,Español,49.0,Universitat Politècnica de Valencia
Big Data and Education,14909,Self-paced,Advanced,Data Analysis & Statistics,English,169.0,University of Pennsylvania
Model-Based Automotive Systems Engineering,13857,Instructor-led,Advanced,Engineering,English,249.0,Chalmers University of Technology
Introduction to Hyperledger Blockchain Technologies,138884,Self-paced,Introductory,Business & Management,English,199.0,The Linux Foundation
MathTrackX: Integral Calculus,52141,Self-paced,Introductory,Math,English,79.0,University of Adelaide
Solar Energy Engineering: Comprehensive Exams,34472,Self-paced,Advanced,Engineering,English,250.0,Delft University of Technology
Mercados de capital y participantes claves,7210,Self-paced,Introductory,Economics & Finance,Español,49.0,NYIF
Introducción al desarrollo de videojuegos con Unity,27474,Self-paced,Intermediate,Computer Science,Español,50.0,Universitat Politècnica de Valencia
Incorporating Renewable Energy in Electricity Grids,10430,Self-paced,Intermediate,Energy & Earth Sciences,English,49.0,Imperial College London
Herramientas de la Inteligencia de Negocios,24130,Self-paced,Introductory,Data Analysis & Statistics,Español,49.0,Universidad Galileo
Overview & Management of Parkinson’s Disease,37826,Self-paced,Intermediate,Medicine,English,49.0,Salisbury University-University System of Maryland
Conociendo los costos,37826,Self-paced,Intermediate,Economics & Finance,Español,49.0,Universidades Anáhuac
Sprint Planning for Faster Agile Team Delivery,10654,Self-paced,Advanced,Engineering,English,199.0,"The University of Maryland, College Park-University System of Maryland"
Introduction to Water and Climate,36320,Self-paced,Intermediate,Engineering,English,50.0,Delft University of Technology
The Medieval Icelandic Sagas,11176,Self-paced,Intermediate,Humanities,English,50.0,The University of Iceland
Visual Presentation,52141,Self-paced,Introductory,Communication,English,199.0,Rochester Institute of Technology
Community Engagement: Collaborating for Change,11818,Self-paced,Introductory,Social Sciences,English,49.0,The University of Michigan
Introducción al Internet de las Cosas (IoT),6322,Self-paced,Introductory,Electronics,Español,50.0,Universitat Politècnica de Valencia
"Proteins: Alignment, Analysis and Structure",23560,Instructor-led,Advanced,Biology & Life Sciences,English,249.0,University System of Maryland-University of Maryland Global Campus
AI Applications with Watson,9173,Self-paced,Intermediate,Computer Science,English,99.0,IBM
Data Analytics and Visualization in Health Care,7304,Self-paced,Advanced,Data Analysis & Statistics,English,249.0,Rochester Institute of Technology
Question Everything: Scientific Thinking in Real Life,34279,Self-paced,Introductory,Math,English,59.0,The University of Queensland
Introduction to Lifestyle Medicine,9002,Self-paced,Introductory,Biology & Life Sciences,English,79.0,Doane University
"Social Work Practice with Individuals, Families, and Small Groups",16134,Self-paced,Advanced,Social Sciences,English,199.0,The University of Michigan
Gateway to Medicine: An Introduction to the Field of Medicine|走近医学,6938,Self-paced,Introductory,Medicine,another language,49.0,Tsinghua University
Indian & Tibetan River of Buddhism,6738,Self-paced,Intermediate,Humanities,English,49.99,Columbia University
Compostaje Orgánico en Casa,52141,Instructor-led,Introductory,Environmental Studies,Español,29.0,Universidad Nacional de Córdoba
Financial Analysis for Decision Making,39156,Self-paced,Introductory,Business & Management,English,199.0,Babson College
Lifestyle Medicine Treatments of Chronic Disease – Part 1,5668,Self-paced,Intermediate,Medicine,English,179.0,Doane University
Building Containerized Applications on AWS,6128,Self-paced,Intermediate,Computer Science,English,99.0,Amazon Web Services
Effective Communication for Program and Project Stakeholders and Teams,52141,Self-paced,Introductory,Business & Management,English,199.0,"The University of Maryland, College Park-University System of Maryland"
Biobased Products for a Sustainable (Bio)economy,6951,Self-paced,Introductory,Biology & Life Sciences,English,50.0,DelftXRWTHx-Delft University of Technology-RWTH Aachen University
Social Work Practice: Advocating Social Justice and Change,19603,Self-paced,Introductory,Social Sciences,English,49.0,The University of Michigan
Anthropology of Current World Issues,44821,Instructor-led,Introductory,Humanities,English,99.0,The University of Queensland
Buyer Behaviour and Analysis,19717,Instructor-led,Advanced,Communication,English,199.0,Curtin University
Idea Development: Create and Implement Innovative Ideas,11501,Self-paced,Intermediate,Business & Management,English,249.0,The University of Queensland
Analysis of Transport Phenomena I: Mathematical Methods,9169,Instructor-led,Advanced,Engineering,English,149.0,Massachusetts Institute of Technology
Leading the Organization,14998,Self-paced,Intermediate,Business & Management,English,249.0,The University of Queensland
"Financial Programming and Policies, Part 2: Program Design",19330,Self-paced,Intermediate,Economics & Finance,English,25.0,The International Monetary Fund
Introduction to Open Source Networking Technologies,17436,Self-paced,Introductory,Computer Science,English,169.0,The Linux Foundation
Deep Learning Essentials,5018,Self-paced,Intermediate,Computer Science,English,149.0,Université de Montréal
Estadística Aplicada a los Negocios,25295,Self-paced,Introductory,Data Analysis & Statistics,Español,49.0,Universidad Galileo
"English for Journalists, Part 2",22814,Self-paced,Intermediate,Communication,English,49.0,"University of California, Berkeley"
Teaching & Learning in the Diverse Classroom,7104,Instructor-led,Introductory,Education & Teacher Training,English,99.0,Cornell University
Fundamentals of Microeconomics | Fundamentos de Microeconomía,18456,Self-paced,Introductory,Social Sciences,English,129.0,Universidad Carlos III de Madrid
Migrating to the AWS Cloud,37826,Self-paced,Intermediate,Computer Science,English,49.0,Amazon Web Services
IoT Networks and Protocols,22136,Self-paced,Introductory,Computer Science,English,199.0,Curtin University
"American Prophet: The Inner Life and Global Vision of Martin Luther King, Jr.",52141,Self-paced,Introductory,History,English,50.0,Stanford University
China’s First Empires and the Rise of Buddhism,46053,Self-paced,Introductory,History,English,139.0,Harvard University
Apnea y Trastornos del Sueño,14902,Self-paced,Introductory,Health & Safety,Español,49.0,Pontificia Universidad Javeriana
Educación sobre el cambio climático,23253,Self-paced,Introductory,Education & Teacher Training,Español,25.0,Inter-American Development Bank
Quantum Mechanics: A First Course,34472,Instructor-led,Advanced,Physics,English,149.0,Massachusetts Institute of Technology
Urban Sewage Treatment,40408,Self-paced,Intermediate,Engineering,English,50.0,Delft University of Technology
Doing Gender and Why it Matters,6826,Self-paced,Introductory,Social Sciences,English,99.0,University of Hong Kong
Producción musical y su efecto en la composición,7869,Self-paced,Introductory,Music,Español,49.0,Berklee College of Music
"Principle of Semiconductor Devices Part I: Semiconductors, PN Junctions and Bipolar Junction Transistors",12425,Self-paced,Intermediate,Electronics,English,70.0,The Hong Kong University of Science and Technology
"19th-Century Opera: Meyerbeer, Wagner, & Verdi",9340,Self-paced,Introductory,Music,English,99.0,Harvard University
Modelos predictivos con Machine Learning,5102,Self-paced,Intermediate,Computer Science,Español,49.0,Universidades Anáhuac
Quantitative Marketing Research,52141,Self-paced,Introductory,Business & Management,English,50.0,Indian Institute of Management Bangalore
Les fondements de la stratégie d’entreprise,33021,Instructor-led,Introductory,Business & Management,another language,150.0,Université catholique de Louvain
Solar Energy: Integration of Photovoltaic Systems in Microgrids,20068,Instructor-led,Advanced,Engineering,English,250.0,Delft University of Technology
"Automated Software Testing: Unit Testing, Coverage Criteria and Design for Testability",12630,Self-paced,Intermediate,Computer Science,English,99.0,Delft University of Technology
Probability and Statistics I:  A Gentle Introduction to Probability,37826,Self-paced,Intermediate,Data Analysis & Statistics,English,199.0,The Georgia Institute of Technology
Introducción a las ecuaciones diferenciales,9868,Self-paced,Intermediate,Math,Español,49.0,Universidad Galileo
Agile Mindset Introduction,52141,Self-paced,Introductory,Data Analysis & Statistics,English,49.0,Rolls-Royce
Tropical coastal ecosystems,23031,Self-paced,Introductory,Biology & Life Sciences,English,99.0,The University of Queensland
Modern China’s Foundations: The Manchus and the Qing,47166,Self-paced,Introductory,History,English,139.0,Harvard University
El método de ciencia de datos,52141,Self-paced,Introductory,Data Analysis & Statistics,Español,39.0,IBM
AWS Developer: Deploying on AWS,25244,Self-paced,Advanced,Computer Science,English,149.0,Amazon Web Services
Autonomous Mobile Robots,62362,Self-paced,Intermediate,Computer Science,English,50.0,ETH Zurich
Gestión por resultados para gobiernos subnacionales,65955,Self-paced,Introductory,Business & Management,Español,25.0,Inter-American Development Bank
Introduction to Sociology,10412,Self-paced,Introductory,Social Sciences,English,139.0,The University of Texas of the Permian Basin
Transformación digital en las empresas,52141,Self-paced,Introductory,Business & Management,Español,49.0,Pontificia Universidad Javeriana
Desafios e oportunidades na economia digital,6913,Self-paced,Introductory,Economics & Finance,another language,25.0,Inter-American Development Bank
"Cellular Solids Part 1: Structures, Properties and Engineering Applications",7186,Self-paced,Advanced,Engineering,English,99.0,Massachusetts Institute of Technology
Introduction to Statistical Methods for Gene Mapping,15419,Self-paced,Advanced,Data Analysis & Statistics,English,49.0,Kyoto University
Cómo vivir una vida saludable y activa,8990,Self-paced,Introductory,Social Sciences,Español,49.0,Universidad Autónoma de Madrid
Mandarin Chinese Level 3,8418,Self-paced,Intermediate,Language,English,149.0,MandarinX
Databases: Advanced Topics in SQL,52141,Self-paced,Introductory,Computer Science,English,50.0,Stanford University
Data for Effective Policy Making,13797,Self-paced,Introductory,Math,English,25.0,Inter-American Development Bank
C Programming: Using Linux Tools and Libraries,13912,Self-paced,Intermediate,Computer Science,English,49.0,Dartmouth_IMTx-Dartmouth College-IMT
Lernen objekt-orientierter Programmierung,10657,Instructor-led,Introductory,Computer Science,another language,49.0,Technische Universität München
Cybersecurity: The CISO's View,21507,Self-paced,Introductory,Computer Science,English,199.0,University of Washington
Fundamentals of Java EE Development,10129,Self-paced,Intermediate,Computer Science,English,99.0,Red Hat
"Instructional Design: Digital Media, New Tools and Technology",16419,Self-paced,Intermediate,Education & Teacher Training,English,299.0,University System of Maryland-University of Maryland Global Campus
Molecular Biology – Part 3: RNA Processing and Translation,16520,Self-paced,Advanced,Biology & Life Sciences,English,99.0,Massachusetts Institute of Technology
Power and Responsibility: Doing Philosophy with Superheroes,8517,Self-paced,Introductory,Art & Culture,English,49.0,The Smithsonian Institution
Aprendizaje automático y ciencia de datos,13994,Self-paced,Intermediate,Computer Science,Español,50.0,Universitat Politècnica de Valencia
Sustainable Urban Freight Transport: A Global Perspective,7769,Self-paced,Introductory,Engineering,English,50.0,Delft University of Technology
MathTrackX: Statistics,52141,Self-paced,Introductory,Math,English,79.0,University of Adelaide
Técnicas Cuantitativas y Cualitativas para la Investigación,29885,Self-paced,Intermediate,Data Analysis & Statistics,Español,65.0,Universitat Politècnica de Valencia
Strategic Applications of IT Project & Program Management,17914,Self-paced,Introductory,Business & Management,English,199.0,University of Washington
Advanced Bioconductor,26063,Self-paced,Advanced,Data Analysis & Statistics,English,149.0,Harvard University
What Every Provider Should Know: Clinical Fundamentals,52141,Self-paced,Introductory,Medicine,English,50.0,Stanford University
Análisis e interpretación de información económica y financiera,5891,Self-paced,Intermediate,Economics & Finance,Español,49.0,Pontificia Universidad Javeriana
AWS IoT: Developing and Deploying an Internet of Things,8884,Self-paced,Intermediate,Computer Science,English,99.0,Amazon Web Services
Measuring Sustainable Development,37826,Self-paced,Intermediate,Data Analysis & Statistics,English,25.0,SDG Academy
Embedded Systems - Shape The World: Multi-Threaded Interfacing,27814,Self-paced,Intermediate,Computer Science,English,49.0,The University of Texas at Austin
Hong Kong Cinema through a Global Lens | 全球化下的香港电影,12458,Instructor-led,Introductory,Humanities,English,50.0,University of Hong Kong
Image Processing and Analysis for Life Scientists,8621,Self-paced,Intermediate,Data Analysis & Statistics,English,199.0,École polytechnique fédérale de Lausanne
La protección del menor,7654,Self-paced,Introductory,Law,Español,49.0,Universidad Autónoma de Madrid
Globalization: Past and Future,10127,Self-paced,Introductory,History,English,25.0,SDG Academy
Star Trek: Inspiring Culture and Technology,6521,Self-paced,Introductory,History,English,40.0,The Smithsonian Institution
Qué funciona en educación: políticas educativas basadas en evidencia,15701,Self-paced,Introductory,Education & Teacher Training,Español,25.0,Inter-American Development Bank
"Introduction to Cloud Development with HTML5, CSS3, and JavaScript",52141,Self-paced,Introductory,Computer Science,English,99.0,IBM
Tools for Academic Engagement in Public Policy,5035,Self-paced,Introductory,Communication,English,199.0,Massachusetts Institute of Technology
Theory of Change for Development,10736,Self-paced,Introductory,Social Sciences,English,199.0,Wits University
Monozukuri: Making Things,52141,Self-paced,Introductory,Engineering,English,49.0,Tokyo Institute of Technology
Drug Discovery & Medicinal Chemistry,37826,Self-paced,Intermediate,Medicine,English,99.0,Davidson College
Digital Biomaterials,52141,Self-paced,Introductory,Medicine,English,149.0,University of Hong Kong
Natural Resources for Sustainable Development,9668,Self-paced,Intermediate,Energy & Earth Sciences,English,49.0,SDG Academy
Omnichannel Strategy and Management,15860,Self-paced,Intermediate,Business & Management,English,99.0,Dartmouth College
General Overview of Cannabis and the Industry’s Outlook and Professions,5048,Self-paced,Introductory,Environmental Studies,English,199.0,Doane University
Amazon SageMaker: Simplifying Machine Learning Application Development,11765,Self-paced,Intermediate,Computer Science,English,99.0,Amazon Web Services
Formulación y nomenclatura de compuestos químicos,12748,Self-paced,Introductory,Chemistry,Español,49.0,Universitat Politècnica de Valencia
Introducción a la factura electrónica,5829,Self-paced,Intermediate,Economics & Finance,Español,49.9,LOGYCA
Demand and Supply Analytics,23585,Instructor-led,Intermediate,Business & Management,English,249.0,Columbia University
Advanced Algorithmics and Graph Theory with Python,13502,Self-paced,Intermediate,Computer Science,English,49.0,IMT
Modern Japanese Architecture Part 1: From Meiji Restoration to the Pacific War,37826,Self-paced,Intermediate,Architecture,English,59.0,Tokyo Institute of Technology
Diagramas UML estructurales para la Ingeniería del Software,5820,Self-paced,Introductory,Computer Science,Español,50.0,Universitat Politècnica de Valencia
"A-level Mathematics for Year 12 - Course 2: Calculus, Newton’s Laws and Hypothesis Testing",6232,Self-paced,Intermediate,Math,English,49.0,Imperial College London
Fundamentos de Mecánica para Ingeniería,14219,Self-paced,Introductory,Physics,Español,49.0,Universitat Politècnica de Valencia
Leadership and Management for PM Practitioners in IT,21949,Self-paced,Introductory,Business & Management,English,199.0,University of Washington
Entrepreneurship 103: Show Me The Money,15184,Self-paced,Introductory,Business & Management,English,300.0,Massachusetts Institute of Technology
Historia de la ética,9383,Self-paced,Introductory,Philosophy & Ethics,Español,29.0,Universidad Carlos III de Madrid
Drainage in Agriculture: controlling water and salt levels in the soil,34472,Self-paced,Advanced,Environmental Studies,English,49.0,Wageningen University & Research
Radio para internet con Podcast: creación y conceptos básicos,6460,Self-paced,Introductory,Communication,Español,50.0,Universitat Politècnica de Valencia
