course_title,institution,course_id
Feminism and Social Justice,"University of California, Santa Cruz",feminism-social-justice
International Organizations Management,University of Geneva,international-organizations-management
Marketing Digital,Universidade de São Paulo,estrategia-marketing-digital
Fundamentals of GIS,"University of California, Davis",gis
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,elearning
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,excel-vba-for-creative-problem-solving-part-1
Rethinking International Tax Law,Universiteit Leiden,international-taxation
Introduction to Probability and Data with R,Duke University,probability-intro
Understanding and Visualizing Data with Python,University of Michigan,understanding-visualization-data
Fundamentals of Visualization with Tableau,"University of California, Davis",data-visualization-tableau
Getting Started with SAS Programming,SAS,sas-programming-basics
Machine Learning for All,University of London,uol-machine-learning-for-all
Using Databases with Python,University of Michigan,python-databases
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,addiction-treatment
Dino 101: Dinosaur Paleobiology,University of Alberta,dino101
Sports Marketing,Northwestern University,sports-marketing
Positive Psychology,The University of North Carolina at Chapel Hill,positive-psychology
Introduction to Programming with MATLAB,Vanderbilt University,matlab
Preparing to Manage Human Resources,University of Minnesota,managing-human-resources
Solar Energy Basics,The State University of New York,solar-energy-basics
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,bootstrap-4
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,google-cloud-java-spring
Introduction to Forensic Science,"Nanyang Technological University, Singapore",forensic-science
Google Cloud Product Fundamentals,Google Cloud,google-cloud-product-fundamentals
American Contract Law I,Yale University,contracts-1
Engineering Health: Introduction to Yoga and Physiology,New York University,engineering-health-yoga-physiology
AI for Medical Diagnosis,DeepLearning.AI,ai-for-medical-diagnosis
Natural Language Processing with Sequence Models,DeepLearning.AI,sequence-models-in-nlp
Introduction to Electronics,Georgia Institute of Technology,electronics
International Humanitarian Law in Theory and Practice,Universiteit Leiden,international-humanitarian-law
Making Architecture,IE School of Architecture & Design,making-architecture
Model Thinking,University of Michigan,model-thinking
Supporting children with difficulties in reading and writing,University of London,dyslexia-difficulties
Innovation Management,Erasmus University Rotterdam,innovation-management
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",people-management
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,modern-world
Supply Chain Principles,Georgia Institute of Technology,supply-chain-principles
Essential Google Cloud Infrastructure: Core Services,Google Cloud,gcp-infrastructure-core-services
Weight Management: Beyond Balancing Calories,Emory University,weight-management-beyond-balancing-calories
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,human-language
Java Programming: Solving Problems with Software,Duke University,java-programming
Race and Cultural Diversity in American Life and History,University of Illinois at Urbana-Champaign,race-cultural-diversity-american-life
Inspiring and Motivating Individuals,University of Michigan,motivate-people-teams
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,competencias-digitales-ofimatica
Healing with the Arts,University of Florida,healing-with-the-arts
People Analytics,University of Pennsylvania,wharton-people-analytics
What is Social?,Northwestern University,what-is-social
UX Design Fundamentals,California Institute of the Arts,ux-design-fundamentals
Creative Thinking: Techniques and Tools for Success,Imperial College London,creative-thinking-techniques-and-tools-for-success
Introduction to Classical Music,Yale University,introclassicalmusic
Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,childrens-rights
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,investment-management
Introduction to Data Analysis Using Excel,Rice University,excel-data-analysis
Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,manage-health-covid-19
Introduction to International Criminal Law,Case Western Reserve University,international-criminal-law
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,wharton-fintech-overview-payments-regulations
Greek and Roman Mythology,University of Pennsylvania,mythology
Politics and Economics of International Energy,Sciences Po,global-energy
Continuous Delivery & DevOps,University of Virginia,uva-darden-continous-delivery-devops
Teach English Now! Foundational Principles,Arizona State University,english-principles
Business Model Innovation,HEC Paris,business-model
Introduction to User Experience Principles and Processes,University of Michigan,introtoux-principles-and-processes
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,beyond-the-sustainable-development-goals-addressing-sustainability-and-development
Process Mining: Data science in Action,Eindhoven University of Technology,process-mining
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,immunologyfundamentalsimmunitybcells
Introduction to Corporate Finance,University of Pennsylvania,wharton-finance
Global Diplomacy: the United Nations in the World,University of London,global-diplomacy-un
Algorithmic Toolbox,University of California San Diego,algorithmic-toolbox
Troubles du spectre de l'autisme : diagnostic,University of Geneva,troubles-spectre-autisme-diagnostic
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,anatomy403-1x
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,crash-course-in-causality
English for Business and Entrepreneurship,University of Pennsylvania,business
Natural Language Processing with Attention Models,DeepLearning.AI,attention-models-in-nlp
What is Compliance?,University of Pennsylvania,what-is-compliance
Getting Started with Google Sheets,Google Cloud,getting-started-with-google-sheets
Data Visualization with Python,IBM,python-for-data-visualization
Foundations of Mindfulness,Rice University,foundations-of-mindfulness
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,negociacion
Data-driven Decision Making,PwC,decision-making
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,fe-exam
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,gender-sexuality
Managerial Accounting Fundamentals,University of Virginia,uva-darden-managerial-accounting
Search Engine Optimization Fundamentals,"University of California, Davis",seo-fundamentals
Essentials of Global Health,Yale University,essentials-global-health
International Security Management,Erasmus University Rotterdam,international-security-management
Getting Started with AWS Machine Learning,Amazon Web Services,aws-machine-learning
Arts and Heritage Management,Università Bocconi,arts-heritage
Understanding Einstein: The Special Theory of Relativity,Stanford University,einstein-relativity
Réussir le Changement,ESSEC Business School,reussir-le-changement
Equine Welfare and Management,"University of California, Davis",equine
International migrations: a global issue,Sciences Po,international-migrations
Introduction to Web Development,"University of California, Davis",web-development
Writing and Editing: Word Choice and Word Order,University of Michigan,writing-editing-words
Introduction to the Digital Advertising Landscape,University of Colorado Boulder,digital-advertising-landscape
